p,Pinf
0.5,0.0
0.51,0.0
0.52,0.0
0.53,0.0
0.54,0.0
0.55,0.0
0.56,0.0
0.5700000000000001,0.0
0.58,0.0
0.59,0.0
0.6,0.0
0.61,0.0
0.62,0.0
0.63,0.0
0.64,0.0
0.65,0.0
0.66,0.0
0.67,0.0
0.6799999999999999,0.0
0.69,0.001
0.7,0.016
0.71,0.133
0.72,0.238
0.73,0.132
0.74,0.019
0.75,0.002
0.76,0.001
0.77,0.0
0.78,0.0
0.79,0.0
0.8,0.0
0.81,0.0
0.8200000000000001,0.0
0.8300000000000001,0.0
0.8400000000000001,0.0
0.85,0.0
0.86,0.01
0.87,0.129
0.88,0.379
0.89,0.305
0.9,0.061
0.9099999999999999,0.024
0.9199999999999999,0.14
0.9299999999999999,0.172
0.94,0.11
0.95,0.167
0.96,0.169
0.97,0.331
0.98,0.776
0.99,0.991
1.0,1.0
