p,Pinf
0.5,0.0
0.51,0.0
0.52,0.0
0.53,0.0
0.54,0.0
0.55,0.0
0.56,0.0
0.5700000000000001,0.0
0.58,0.0
0.59,0.0
0.6,0.0
0.61,0.0
0.62,0.0
0.63,0.0
0.64,0.0
0.65,0.0
0.66,0.003
0.67,0.019
0.6799999999999999,0.065
0.69,0.113
0.7,0.196
0.71,0.154
0.72,0.08
0.73,0.037
0.74,0.008
0.75,0.0
0.76,0.0
0.77,0.001
0.78,0.005
0.79,0.015
0.8,0.034
0.81,0.103
0.8200000000000001,0.222
0.8300000000000001,0.343
0.8400000000000001,0.512
0.85,0.638
0.86,0.784
0.87,0.899
0.88,0.947
0.89,0.98
0.9,0.994
0.9099999999999999,0.998
0.9199999999999999,0.999
0.9299999999999999,1.0
0.94,1.0
0.95,1.0
0.96,1.0
0.97,1.0
0.98,1.0
0.99,1.0
1.0,1.0
