p,Pinf
0.5,0.0
0.51,0.0
0.52,0.0
0.53,0.0
0.54,0.0
0.55,0.0
0.56,0.0
0.5700000000000001,0.0
0.58,0.0
0.59,0.0
0.6,0.0
0.61,0.0
0.62,0.0
0.63,0.0
0.64,0.0
0.65,0.003
0.66,0.009
0.67,0.043
0.6799999999999999,0.133
0.69,0.205
0.7,0.292
0.71,0.196
0.72,0.127
0.73,0.07
0.74,0.023
0.75,0.008
0.76,0.003
0.77,0.0
0.78,0.006
0.79,0.036
0.8,0.069
0.81,0.149
0.8200000000000001,0.281
0.8300000000000001,0.442
0.8400000000000001,0.576
0.85,0.714
0.86,0.815
0.87,0.885
0.88,0.953
0.89,0.974
0.9,0.996
0.9099999999999999,0.998
0.9199999999999999,0.999
0.9299999999999999,1.0
0.94,1.0
0.95,1.0
0.96,1.0
0.97,1.0
0.98,1.0
0.99,1.0
1.0,1.0
